C:\Users\NITHESHWAR\AppData\Local\Programs\Python\Python310\lib\site-packages\engineio\async_drivers\eventlet.py:1: EventletDeprecationWarning: 
Eventlet is deprecated. It is currently being maintained in bugfix mode, and
we strongly recommend against using it for new projects.

If you are already using Eventlet, we recommend migrating to a different
framework.  For more detail see
https://eventlet.readthedocs.io/en/latest/asyncio/migration.html

  from eventlet.green.threading import Event
2026-06-14 15:20:32,845 [INFO] MongoDB connected
2026-06-14 15:28:13,452 [INFO] Running job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:29:13 IST)" (scheduled at 2026-06-14 15:28:13.450360+05:30)
2026-06-14 15:28:13,619 [INFO] Job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:29:13 IST)" executed successfully
2026-06-14 15:28:36,967 [INFO] Running job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:29:36 IST)" (scheduled at 2026-06-14 15:28:36.955473+05:30)
2026-06-14 15:28:37,130 [INFO] Job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:29:36 IST)" executed successfully
2026-06-14 15:29:13,452 [INFO] Running job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:30:13 IST)" (scheduled at 2026-06-14 15:29:13.450360+05:30)
2026-06-14 15:29:13,632 [INFO] Job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:30:13 IST)" executed successfully
2026-06-14 15:29:36,959 [INFO] Running job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:30:36 IST)" (scheduled at 2026-06-14 15:29:36.955473+05:30)
2026-06-14 15:29:37,147 [INFO] Job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:30:36 IST)" executed successfully
2026-06-14 15:30:13,461 [INFO] Running job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:31:13 IST)" (scheduled at 2026-06-14 15:30:13.450360+05:30)
2026-06-14 15:30:13,652 [INFO] Job "Check orders with no rider and process refunds (trigger: interval[0:01:00], next run at: 2026-06-14 15:31:13 IST)" executed successfully
